代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
600039,四川路桥,建筑工程,20250710,9.09,20250731,8.71,200,-77.8,-4.15%,21,Rank 1.57%,"Rank 1.57%, Score 0.0306, BULL",BULL rank exit (57.9%),BULL rank exit (57.9%),BULL,csi300
600515,海南机场,机场,20250722,3.94,20250801,3.91,1500,-52.6,-0.76%,10,Rank 4.09%,"Rank 4.09%, Score 0.0315, BULL",BULL rank exit (43.1%),BULL rank exit (43.1%),BULL,csi300
601669,中国电建,建筑工程,20250725,7.41,20250801,6.69,1300,-945.3,-9.70%,7,Rank 1.26%,"Rank 1.26%, Score 0.0810, BULL",BULL Hard stop (-9.7%),BULL Hard stop (-9.7%),BULL,csi300
600188,兖矿能源,煤炭开采,20250723,14.13,20250804,13.58,200,-113.6,-3.90%,12,Rank 4.72%,"Rank 4.72%, Score 0.0219, BULL",BULL rank exit (47.6%),BULL rank exit (47.6%),BULL,csi300
600426,华鲁恒升,农药化肥,20250721,23.94,20250805,24.22,200,51.2,1.20%,15,Rank 2.20%,"Rank 2.20%, Score 0.0327, BULL",BULL rank exit (49.5%),BULL rank exit (49.5%),BULL,csi300
600089,特变电工,电气设备,20250723,14.54,20250805,13.62,300,-280.8,-6.32%,13,Rank 2.83%,"Rank 2.83%, Score 0.0365, BULL",BULL rank exit (71.9%),BULL rank exit (71.9%),BULL,csi300
002736,国信证券,证券,20250728,14.43,20250807,14.03,300,-126.2,-2.79%,10,Rank 2.52%,"Rank 2.52%, Score 0.0270, BULL",BULL rank exit (42.6%),BULL rank exit (42.6%),BULL,csi300
000617,中油资本,多元金融,20250731,8.81,20250811,8.58,200,-49.0,-2.66%,11,Rank 4.40%,"Rank 4.40%, Score 0.0210, BULL",BULL rank exit (50.5%),BULL rank exit (50.5%),BULL,csi300
300979,华利集团,服饰,20250801,54.26,20250811,53.9,100,-43.5,-0.67%,10,Rank 2.20%,"Rank 2.20%, Score 0.0286, BULL",BULL rank exit (66.9%),BULL rank exit (66.9%),BULL,csi300
601018,宁波港,港口,20250522,3.84,20250813,3.79,5100,-287.5,-1.34%,83,Rank 1.89%,"Rank 1.89%, Score 0.0280, BEAR",BULL rank exit (40.6%),BULL rank exit (40.6%),BULL,csi300
002938,鹏鼎控股,元器件,20250718,49.05,20250813,58.8,200,1935.8,19.89%,26,Rank 0.94%,"Rank 0.94%, Score 0.0429, BULL",BULL rank exit (42.5%),BULL rank exit (42.5%),BULL,csi300
000983,山西焦煤,煤炭开采,20250730,7.61,20250819,7.48,300,-40.1,-1.63%,20,Rank 3.46%,"Rank 3.46%, Score 0.0191, BULL",BULL rank exit (53.3%),BULL rank exit (53.3%),BULL,csi300
002007,华兰生物,生物制药,20250609,16.33,20250820,17.11,300,225.9,4.75%,72,Rank 3.48%,"Rank 3.48%, Score 0.0166, BULL",BULL rank exit (41.0%),BULL rank exit (41.0%),BULL,csi300
600482,中国动力,船舶,20250806,24.88,20250820,23.48,100,-143.5,-5.64%,14,Rank 2.52%,"Rank 2.52%, Score 0.0207, BULL",BULL rank exit (51.4%),BULL rank exit (51.4%),BULL,csi300
600233,圆通速递,仓储物流,20250807,17.36,20250821,18.51,300,338.3,6.64%,14,Rank 1.58%,"Rank 1.58%, Score 0.0358, BULL",BULL rank exit (62.1%),BULL rank exit (62.1%),BULL,csi300
601225,陕西煤业,煤炭开采,20250811,23.02,20250821,23.45,100,39.7,1.86%,10,Rank 4.42%,"Rank 4.42%, Score 0.0146, BULL",BULL rank exit (61.2%),BULL rank exit (61.2%),BULL,csi300
601825,沪农商行,银行,20250530,8.96,20250825,9.03,200,11.4,0.77%,87,Rank 4.75%,"Rank 4.75%, Score 0.0150, BULL",BULL rank exit (47.6%),BULL rank exit (47.6%),BULL,csi300
601868,中国能建,建筑工程,20250811,2.58,20250825,2.61,1700,47.4,1.21%,14,Rank 4.10%,"Rank 4.10%, Score 0.0152, BULL",BULL rank exit (44.5%),BULL rank exit (44.5%),BULL,csi300
600875,东方电气,电气设备,20250813,19.81,20250825,21.07,400,491.1,6.34%,12,Rank 2.86%,"Rank 2.86%, Score 0.0276, BULL",BULL rank exit (45.1%),BULL rank exit (45.1%),BULL,csi300
300122,智飞生物,生物制药,20250813,23.89,20250826,24.0,200,15.9,0.46%,13,Rank 4.76%,"Rank 4.76%, Score 0.0175, BULL",BULL rank exit (57.1%),BULL rank exit (57.1%),BULL,csi300
